max_number_of_vehicles,MINIMUM_SPEED,min_number_of_vehicles,AVERAGE_SPEED,avg_number_of_vehicles,MAXIMUM_SPEED,DATE
298,6,11,56.59,58.72,193,2020-01-01T00:00:00
272,6,11,57.41,53.68,188,2020-01-01T01:00:00
223,3,11,59.70,44.72,197,2020-01-01T02:00:00
166,6,11,61.05,37.51,191,2020-01-01T03:00:00
113,6,11,62.44,32.87,207,2020-01-01T04:00:00
192,6,11,59.21,42.12,214,2020-01-01T05:00:00
294,6,11,61.25,46.40,180,2020-01-01T06:00:00
358,6,11,60.97,55.97,177,2020-01-01T07:00:00
269,6,11,59.02,53.59,190,2020-01-01T08:00:00
281,6,11,58.86,52.47,189,2020-01-01T09:00:00
288,3,11,58.94,54.37,192,2020-01-01T10:00:00
329,6,11,58.27,60.57,182,2020-01-01T11:00:00
425,5,11,58.49,69.43,204,2020-01-01T12:00:00
510,1,11,57.32,80.00,192,2020-01-01T13:00:00
520,1,11,56.76,83.31,209,2020-01-01T14:00:00
539,2,11,56.25,89.31,188,2020-01-01T15:00:00
521,1,11,56.09,87.95,197,2020-01-01T16:00:00
524,3,11,56.94,86.70,219,2020-01-01T17:00:00
467,3,11,55.95,85.31,190,2020-01-01T18:00:00
452,6,11,56.58,80.40,218,2020-01-01T19:00:00
387,6,11,57.41,76.37,190,2020-01-01T20:00:00
458,2,11,56.71,75.53,169,2020-01-01T21:00:00
406,6,11,57.88,70.82,180,2020-01-01T22:00:00
371,6,11,58.74,66.04,176,2020-01-01T23:00:00
274,6,11,59.74,55.30,186,2020-01-02T00:00:00
187,6,11,61.41,41.50,174,2020-01-02T01:00:00
129,6,11,65.67,34.83,183,2020-01-02T02:00:00
108,6,11,66.51,30.74,163,2020-01-02T03:00:00
143,6,11,66.64,34.44,176,2020-01-02T04:00:00
325,6,11,58.55,63.70,169,2020-01-02T05:00:00
996,3,11,55.68,151.10,175,2020-01-02T06:00:00
948,6,11,52.31,158.70,186,2020-01-02T07:00:00
861,6,11,50.86,135.07,180,2020-01-02T08:00:00
1017,6,11,53.19,141.73,214,2020-01-02T09:00:00
1046,1,11,53.71,130.90,188,2020-01-02T10:00:00
1089,1,11,53.24,129.96,185,2020-01-02T11:00:00
1134,2,11,52.57,127.38,207,2020-01-02T12:00:00
974,1,11,51.87,119.45,217,2020-01-02T13:00:00
960,2,11,51.77,121.46,173,2020-01-02T14:00:00
1018,2,11,51.25,125.21,201,2020-01-02T15:00:00
711,2,11,49.96,105.67,184,2020-01-02T16:00:00
688,6,11,49.06,98.77,186,2020-01-02T17:00:00
815,6,11,47.83,127.67,190,2020-01-02T18:00:00
881,3,11,49.48,133.92,175,2020-01-02T19:00:00
697,5,11,53.62,117.85,185,2020-01-02T20:00:00
659,5,11,55.02,99.93,174,2020-01-02T21:00:00
451,4,11,56.33,82.35,196,2020-01-02T22:00:00
414,6,11,57.83,76.28,180,2020-01-02T23:00:00
329,6,11,59.36,65.55,185,2020-01-03T00:00:00
240,6,11,60.57,48.94,173,2020-01-03T01:00:00
175,6,11,63.82,40.34,193,2020-01-03T02:00:00
159,6,11,64.13,36.35,178,2020-01-03T03:00:00
185,6,11,64.19,39.48,199,2020-01-03T04:00:00
357,6,11,58.46,64.50,191,2020-01-03T05:00:00
918,6,11,56.27,147.86,218,2020-01-03T06:00:00
842,5,11,52.94,141.57,181,2020-01-03T07:00:00
733,4,11,50.89,111.17,191,2020-01-03T08:00:00
969,3,11,53.53,125.94,187,2020-01-03T09:00:00
1003,2,11,53.60,120.84,195,2020-01-03T10:00:00
1009,2,11,53.14,121.42,222,2020-01-03T11:00:00
888,3,11,53.72,116.58,188,2020-01-03T12:00:00
844,4,11,55.11,111.59,198,2020-01-03T13:00:00
820,2,11,52.98,106.44,184,2020-01-03T14:00:00
796,1,11,51.84,106.84,182,2020-01-03T15:00:00
745,3,11,51.77,102.38,213,2020-01-03T16:00:00
837,1,11,51.51,126.70,191,2020-01-03T17:00:00
842,6,11,50.40,127.43,186,2020-01-03T18:00:00
814,3,11,51.36,126.99,201,2020-01-03T19:00:00
705,1,11,55.29,113.29,200,2020-01-03T20:00:00
636,4,11,57.39,103.55,210,2020-01-03T21:00:00
479,6,11,57.53,86.31,204,2020-01-03T22:00:00
486,6,11,58.10,83.39,197,2020-01-03T23:00:00
387,6,11,59.63,74.58,199,2020-01-04T00:00:00
243,6,11,61.27,50.70,183,2020-01-04T01:00:00
194,6,11,63.21,41.88,191,2020-01-04T02:00:00
136,6,11,65.58,35.85,185,2020-01-04T03:00:00
211,6,11,65.16,40.49,188,2020-01-04T04:00:00
353,6,11,60.50,57.16,183,2020-01-04T05:00:00
586,6,11,59.13,87.49,177,2020-01-04T06:00:00
1018,6,11,57.80,120.61,178,2020-01-04T07:00:00
1051,6,11,56.83,129.89,188,2020-01-04T08:00:00
1009,2,11,56.38,124.31,184,2020-01-04T09:00:00
972,4,11,55.68,121.31,212,2020-01-04T10:00:00
993,3,11,54.95,114.90,187,2020-01-04T11:00:00
932,6,11,54.45,116.32,202,2020-01-04T12:00:00
936,1,11,53.35,115.39,207,2020-01-04T13:00:00
901,3,11,52.94,113.26,214,2020-01-04T14:00:00
898,6,11,54.11,112.39,206,2020-01-04T15:00:00
743,1,11,53.96,109.65,215,2020-01-04T16:00:00
626,3,11,53.81,108.31,186,2020-01-04T17:00:00
602,4,11,53.88,100.87,200,2020-01-04T18:00:00
561,2,11,53.84,96.19,197,2020-01-04T19:00:00
467,2,11,55.78,85.61,223,2020-01-04T20:00:00
480,6,11,57.12,79.73,215,2020-01-04T21:00:00
437,6,11,57.14,77.63,181,2020-01-04T22:00:00
443,6,11,57.98,79.12,208,2020-01-04T23:00:00
361,4,11,58.66,69.82,207,2020-01-05T00:00:00
228,6,11,60.42,45.75,189,2020-01-05T01:00:00
120,6,11,62.06,34.78,195,2020-01-05T02:00:00
96,6,11,63.44,30.97,196,2020-01-05T03:00:00
100,6,11,66.28,31.64,198,2020-01-05T04:00:00
236,6,11,61.32,44.04,198,2020-01-05T05:00:00
316,6,11,61.63,53.99,181,2020-01-05T06:00:00
367,6,11,60.54,61.76,189,2020-01-05T07:00:00
304,6,11,60.07,61.38,197,2020-01-05T08:00:00
346,6,11,59.85,60.21,190,2020-01-05T09:00:00
353,6,11,59.20,65.04,188,2020-01-05T10:00:00
374,6,11,58.61,67.49,191,2020-01-05T11:00:00
427,6,11,57.87,75.56,202,2020-01-05T12:00:00
477,6,11,56.89,81.22,210,2020-01-05T13:00:00
461,1,11,55.42,83.54,203,2020-01-05T14:00:00
540,6,11,55.17,90.23,202,2020-01-05T15:00:00
480,5,11,53.99,87.27,182,2020-01-05T16:00:00
483,6,11,54.22,86.59,186,2020-01-05T17:00:00
468,3,11,52.75,85.15,195,2020-01-05T18:00:00
407,4,11,53.52,79.79,197,2020-01-05T19:00:00
439,6,11,54.73,77.65,179,2020-01-05T20:00:00
436,3,11,55.41,77.15,173,2020-01-05T21:00:00
390,3,11,55.75,68.97,173,2020-01-05T22:00:00
386,6,11,56.86,69.14,173,2020-01-05T23:00:00
266,6,11,56.77,55.81,172,2020-01-06T00:00:00
224,6,11,58.94,45.44,171,2020-01-06T01:00:00
149,6,11,63.01,37.52,157,2020-01-06T02:00:00
125,6,11,63.84,31.18,166,2020-01-06T03:00:00
169,3,11,63.47,35.92,165,2020-01-06T04:00:00
389,6,11,57.09,68.56,167,2020-01-06T05:00:00
902,6,11,53.63,139.52,167,2020-01-06T06:00:00
816,5,11,48.75,131.71,168,2020-01-06T07:00:00
617,5,11,45.04,101.89,177,2020-01-06T08:00:00
668,3,11,48.02,106.00,170,2020-01-06T09:00:00
704,5,11,49.77,101.18,175,2020-01-06T10:00:00
807,4,11,50.41,106.31,166,2020-01-06T11:00:00
723,2,11,49.46,96.07,173,2020-01-06T12:00:00
1075,6,11,50.06,123.67,161,2020-01-06T13:00:00
1146,1,11,49.52,127.25,160,2020-01-06T14:00:00
1057,3,11,49.13,127.10,163,2020-01-06T15:00:00
738,5,11,47.67,111.35,174,2020-01-06T16:00:00
839,4,11,47.12,134.78,166,2020-01-06T17:00:00
775,4,11,45.35,122.06,150,2020-01-06T18:00:00
755,3,11,46.68,129.53,160,2020-01-06T19:00:00
588,6,11,49.95,109.83,162,2020-01-06T20:00:00
658,3,11,52.62,99.06,159,2020-01-06T21:00:00
450,3,11,53.28,82.26,167,2020-01-06T22:00:00
380,6,11,54.58,72.11,160,2020-01-06T23:00:00
219,6,11,56.09,47.09,169,2020-01-07T00:00:00
245,6,11,57.08,45.83,176,2020-01-07T01:00:00
156,6,11,59.07,37.35,171,2020-01-07T02:00:00
145,6,11,61.23,37.30,172,2020-01-07T03:00:00
205,6,11,60.39,40.24,164,2020-01-07T04:00:00
381,6,11,54.64,66.14,185,2020-01-07T05:00:00
880,6,11,52.61,140.68,177,2020-01-07T06:00:00
892,6,11,48.53,146.84,156,2020-01-07T07:00:00
757,6,11,46.48,119.26,184,2020-01-07T08:00:00
796,3,11,48.91,114.66,167,2020-01-07T09:00:00
816,2,11,50.24,111.51,168,2020-01-07T10:00:00
1002,1,11,50.13,120.95,175,2020-01-07T11:00:00
926,5,11,50.00,112.22,187,2020-01-07T12:00:00
727,1,11,49.53,93.78,181,2020-01-07T13:00:00
938,2,11,49.21,108.33,169,2020-01-07T14:00:00
558,1,11,48.15,77.11,164,2020-01-07T15:00:00
493,2,11,46.31,74.68,165,2020-01-07T16:00:00
470,3,11,45.96,79.86,177,2020-01-07T17:00:00
446,6,11,44.35,77.63,161,2020-01-07T18:00:00
546,2,11,46.33,90.72,185,2020-01-07T19:00:00
577,6,11,50.79,103.61,200,2020-01-07T20:00:00
607,1,11,53.12,92.79,169,2020-01-07T21:00:00
442,4,11,54.55,79.94,172,2020-01-07T22:00:00
416,6,11,56.24,74.00,187,2020-01-07T23:00:00
349,6,11,57.10,65.10,161,2020-01-08T00:00:00
241,6,11,59.32,50.25,159,2020-01-08T01:00:00
166,6,11,61.34,40.17,187,2020-01-08T02:00:00
179,6,11,62.34,38.21,156,2020-01-08T03:00:00
197,2,11,62.56,39.62,168,2020-01-08T04:00:00
406,6,11,56.69,65.19,180,2020-01-08T05:00:00
774,6,11,54.06,118.05,178,2020-01-08T06:00:00
588,5,11,49.93,103.83,174,2020-01-08T07:00:00
443,3,11,46.03,69.30,178,2020-01-08T08:00:00
604,5,11,50.75,89.24,186,2020-01-08T09:00:00
823,1,11,52.52,102.00,175,2020-01-08T10:00:00
787,1,11,51.90,93.12,171,2020-01-08T11:00:00
635,6,11,51.69,82.20,207,2020-01-08T12:00:00
663,6,11,52.33,84.10,205,2020-01-08T13:00:00
561,3,11,51.42,79.75,190,2020-01-08T14:00:00
470,4,11,49.99,70.65,204,2020-01-08T15:00:00
451,6,11,49.35,76.44,171,2020-01-08T16:00:00
532,6,11,49.76,89.19,177,2020-01-08T17:00:00
460,2,11,46.88,75.21,170,2020-01-08T18:00:00
563,2,11,49.15,93.09,197,2020-01-08T19:00:00
535,6,11,52.58,96.57,173,2020-01-08T20:00:00
565,2,11,54.82,88.28,185,2020-01-08T21:00:00
329,6,11,55.43,62.99,177,2020-01-08T22:00:00
388,6,11,56.80,71.95,184,2020-01-08T23:00:00
322,6,11,58.41,63.75,176,2020-01-09T00:00:00
220,2,11,59.96,47.60,191,2020-01-09T01:00:00
183,6,11,63.04,39.44,182,2020-01-09T02:00:00
168,6,11,65.33,35.06,183,2020-01-09T03:00:00
173,6,11,63.57,40.34,182,2020-01-09T04:00:00
356,6,11,58.17,63.75,175,2020-01-09T05:00:00
729,6,11,55.49,112.35,186,2020-01-09T06:00:00
518,6,11,51.00,95.17,175,2020-01-09T07:00:00
513,4,11,48.70,87.30,181,2020-01-09T08:00:00
684,3,11,52.15,97.66,187,2020-01-09T09:00:00
758,2,11,52.63,100.13,200,2020-01-09T10:00:00
784,2,11,52.59,105.19,191,2020-01-09T11:00:00
878,2,11,52.87,115.72,177,2020-01-09T12:00:00
830,2,11,52.45,108.62,188,2020-01-09T13:00:00
823,3,11,52.17,108.09,183,2020-01-09T14:00:00
758,1,11,51.99,107.36,186,2020-01-09T15:00:00
723,2,11,50.87,99.14,189,2020-01-09T16:00:00
607,1,11,49.98,98.90,193,2020-01-09T17:00:00
607,2,11,48.44,94.26,202,2020-01-09T18:00:00
564,6,11,50.56,89.34,205,2020-01-09T19:00:00
530,6,11,54.94,97.20,212,2020-01-09T20:00:00
494,2,11,56.14,90.13,185,2020-01-09T21:00:00
411,6,11,57.07,73.60,179,2020-01-09T22:00:00
413,6,11,58.30,72.87,199,2020-01-09T23:00:00
359,6,11,59.44,67.74,193,2020-01-10T00:00:00
245,3,11,60.98,50.34,182,2020-01-10T01:00:00
179,6,11,63.67,41.84,193,2020-01-10T02:00:00
204,6,11,64.77,38.24,201,2020-01-10T03:00:00
210,6,11,65.51,43.91,184,2020-01-10T04:00:00
429,6,11,58.93,70.82,186,2020-01-10T05:00:00
819,6,11,55.93,131.59,186,2020-01-10T06:00:00
794,6,11,52.24,132.24,181,2020-01-10T07:00:00
658,4,11,49.75,101.42,191,2020-01-10T08:00:00
870,6,11,52.32,118.30,188,2020-01-10T09:00:00
916,1,11,52.97,110.84,191,2020-01-10T10:00:00
864,2,11,52.99,108.89,200,2020-01-10T11:00:00
953,3,11,53.05,109.82,194,2020-01-10T12:00:00
891,1,11,54.34,114.20,195,2020-01-10T13:00:00
760,1,11,52.32,108.62,195,2020-01-10T14:00:00
831,1,11,50.65,103.24,192,2020-01-10T15:00:00
632,1,11,49.86,98.87,190,2020-01-10T16:00:00
581,1,11,49.22,90.04,185,2020-01-10T17:00:00
728,1,11,48.48,110.81,212,2020-01-10T18:00:00
633,3,11,49.51,107.73,199,2020-01-10T19:00:00
650,4,11,53.70,114.54,188,2020-01-10T20:00:00
602,1,11,55.54,96.97,215,2020-01-10T21:00:00
541,1,11,57.08,93.60,185,2020-01-10T22:00:00
474,6,11,58.21,85.92,193,2020-01-10T23:00:00
418,1,11,59.15,77.36,199,2020-01-11T00:00:00
291,6,11,60.69,55.20,190,2020-01-11T01:00:00
196,6,11,61.69,44.45,197,2020-01-11T02:00:00
158,6,11,63.97,36.00,189,2020-01-11T03:00:00
191,6,11,64.05,40.75,192,2020-01-11T04:00:00
369,3,11,60.14,60.42,199,2020-01-11T05:00:00
557,6,11,58.60,90.40,191,2020-01-11T06:00:00
977,6,11,57.02,120.44,206,2020-01-11T07:00:00
1045,3,11,55.87,128.99,185,2020-01-11T08:00:00
1035,3,11,54.91,125.63,196,2020-01-11T09:00:00
1042,5,11,54.31,123.83,193,2020-01-11T10:00:00
976,5,11,53.54,112.94,200,2020-01-11T11:00:00
1034,6,11,53.01,112.57,202,2020-01-11T12:00:00
953,2,11,51.83,112.54,197,2020-01-11T13:00:00
871,1,11,51.94,106.72,197,2020-01-11T14:00:00
754,2,11,51.79,102.85,190,2020-01-11T15:00:00
768,3,11,52.07,105.99,192,2020-01-11T16:00:00
581,2,11,52.39,91.90,194,2020-01-11T17:00:00
496,2,11,52.20,82.16,193,2020-01-11T18:00:00
489,4,11,52.64,89.82,187,2020-01-11T19:00:00
488,6,11,54.61,81.73,192,2020-01-11T20:00:00
518,6,11,56.21,83.82,220,2020-01-11T21:00:00
473,6,11,57.03,75.61,190,2020-01-11T22:00:00
419,6,11,57.13,73.93,179,2020-01-11T23:00:00
341,6,11,58.08,65.72,185,2020-01-12T00:00:00
221,6,11,60.62,44.73,198,2020-01-12T01:00:00
145,6,11,61.16,33.55,186,2020-01-12T02:00:00
92,6,11,64.32,27.13,179,2020-01-12T03:00:00
104,6,11,66.98,30.25,181,2020-01-12T04:00:00
237,6,11,61.72,46.33,214,2020-01-12T05:00:00
316,6,11,60.57,54.49,173,2020-01-12T06:00:00
371,6,11,58.61,62.73,186,2020-01-12T07:00:00
327,6,11,58.87,61.02,167,2020-01-12T08:00:00
381,2,11,59.51,64.16,186,2020-01-12T09:00:00
362,6,11,58.03,67.15,186,2020-01-12T10:00:00
376,1,11,57.13,67.79,178,2020-01-12T11:00:00
424,4,11,57.03,74.08,199,2020-01-12T12:00:00
469,1,11,55.88,83.27,203,2020-01-12T13:00:00
504,4,11,55.62,83.40,186,2020-01-12T14:00:00
504,5,11,54.84,85.71,212,2020-01-12T15:00:00
499,1,11,55.66,83.88,193,2020-01-12T16:00:00
511,0,11,56.08,85.50,211,2020-01-12T17:00:00
463,6,11,55.92,84.39,196,2020-01-12T18:00:00
416,4,11,56.20,80.72,193,2020-01-12T19:00:00
402,6,11,57.71,77.83,190,2020-01-12T20:00:00
464,6,11,57.69,77.13,172,2020-01-12T21:00:00
407,4,11,58.29,72.12,177,2020-01-12T22:00:00
395,3,11,59.81,70.49,178,2020-01-12T23:00:00
286,5,11,59.49,57.75,168,2020-01-13T00:00:00
224,6,11,61.74,45.66,172,2020-01-13T01:00:00
164,6,11,64.00,38.24,181,2020-01-13T02:00:00
114,6,11,65.95,28.30,180,2020-01-13T03:00:00
153,6,11,67.15,33.78,190,2020-01-13T04:00:00
341,6,11,59.68,62.37,185,2020-01-13T05:00:00
775,1,11,56.43,123.36,195,2020-01-13T06:00:00
784,6,11,52.94,133.69,188,2020-01-13T07:00:00
689,6,11,50.55,103.54,195,2020-01-13T08:00:00
710,4,11,53.23,108.65,210,2020-01-13T09:00:00
806,1,11,54.14,103.29,218,2020-01-13T10:00:00
679,1,11,53.99,83.65,178,2020-01-13T11:00:00
918,4,11,53.95,105.88,204,2020-01-13T12:00:00
863,1,11,53.36,97.44,198,2020-01-13T13:00:00
857,1,11,52.77,103.50,183,2020-01-13T14:00:00
812,1,11,51.88,102.03,189,2020-01-13T15:00:00
511,1,11,50.96,78.27,192,2020-01-13T16:00:00
616,2,11,51.70,98.27,195,2020-01-13T17:00:00
688,4,11,50.26,106.47,203,2020-01-13T18:00:00
763,4,11,51.52,116.30,191,2020-01-13T19:00:00
644,4,11,55.40,104.63,194,2020-01-13T20:00:00
514,3,11,57.19,86.75,184,2020-01-13T21:00:00
454,6,11,58.06,77.10,193,2020-01-13T22:00:00
403,3,11,58.96,71.87,182,2020-01-13T23:00:00
325,6,11,59.58,62.72,196,2020-01-14T00:00:00
222,6,11,60.95,48.60,185,2020-01-14T01:00:00
155,6,11,64.33,37.28,186,2020-01-14T02:00:00
142,6,11,66.80,32.75,174,2020-01-14T03:00:00
180,6,11,65.66,41.92,170,2020-01-14T04:00:00
405,6,11,59.19,70.29,173,2020-01-14T05:00:00
896,6,11,56.38,137.95,212,2020-01-14T06:00:00
751,6,11,52.78,127.16,210,2020-01-14T07:00:00
669,6,11,50.04,97.76,184,2020-01-14T08:00:00
547,2,11,51.79,82.38,191,2020-01-14T09:00:00
690,1,11,52.94,97.80,202,2020-01-14T10:00:00
655,3,11,53.24,88.44,208,2020-01-14T11:00:00
884,1,11,53.37,115.26,194,2020-01-14T12:00:00
724,3,11,52.84,97.67,186,2020-01-14T13:00:00
664,3,11,52.43,91.56,176,2020-01-14T14:00:00
725,2,11,51.70,94.24,181,2020-01-14T15:00:00
655,1,11,51.28,95.20,188,2020-01-14T16:00:00
763,2,11,50.59,105.78,217,2020-01-14T17:00:00
785,2,11,49.30,119.62,214,2020-01-14T18:00:00
782,1,11,50.51,120.32,192,2020-01-14T19:00:00
641,6,11,54.63,109.22,203,2020-01-14T20:00:00
628,6,11,56.48,96.39,214,2020-01-14T21:00:00
453,6,11,57.50,83.78,181,2020-01-14T22:00:00
404,1,11,58.62,78.40,201,2020-01-14T23:00:00
319,6,11,59.55,65.22,201,2020-01-15T00:00:00
224,6,11,61.15,47.50,195,2020-01-15T01:00:00
169,6,11,63.74,39.35,196,2020-01-15T02:00:00
169,6,11,65.36,36.57,183,2020-01-15T03:00:00
219,6,11,65.86,41.94,192,2020-01-15T04:00:00
444,6,11,59.42,71.36,182,2020-01-15T05:00:00
994,6,11,56.95,149.13,201,2020-01-15T06:00:00
943,6,11,53.10,148.99,184,2020-01-15T07:00:00
631,4,11,51.16,106.58,200,2020-01-15T08:00:00
823,4,11,53.41,112.09,198,2020-01-15T09:00:00
928,1,11,53.52,118.27,216,2020-01-15T10:00:00
907,2,11,53.39,109.91,191,2020-01-15T11:00:00
904,1,11,53.05,116.59,186,2020-01-15T12:00:00
892,1,11,53.33,118.28,189,2020-01-15T13:00:00
787,1,11,52.67,108.24,194,2020-01-15T14:00:00
930,2,11,52.07,113.20,198,2020-01-15T15:00:00
875,2,11,51.63,120.76,199,2020-01-15T16:00:00
841,2,11,51.63,119.49,198,2020-01-15T17:00:00
895,4,11,50.11,134.89,188,2020-01-15T18:00:00
872,4,11,51.58,133.15,188,2020-01-15T19:00:00
719,1,11,54.82,118.64,202,2020-01-15T20:00:00
561,5,11,56.22,99.37,189,2020-01-15T21:00:00
513,6,11,57.15,91.14,200,2020-01-15T22:00:00
429,6,11,58.55,81.72,200,2020-01-15T23:00:00
347,6,11,59.70,66.69,201,2020-01-16T00:00:00
232,6,11,61.86,50.24,189,2020-01-16T01:00:00
171,6,11,65.91,36.96,202,2020-01-16T02:00:00
163,6,11,66.69,37.60,197,2020-01-16T03:00:00
220,6,11,66.04,42.64,187,2020-01-16T04:00:00
429,6,11,59.88,72.39,182,2020-01-16T05:00:00
923,6,11,56.95,141.79,193,2020-01-16T06:00:00
824,6,11,53.50,137.11,190,2020-01-16T07:00:00
706,2,11,52.02,111.06,197,2020-01-16T08:00:00
808,4,11,53.82,116.58,193,2020-01-16T09:00:00
979,2,11,53.53,121.26,191,2020-01-16T10:00:00
930,1,11,52.91,115.45,188,2020-01-16T11:00:00
814,1,11,52.71,109.76,168,2020-01-16T12:00:00
929,3,11,53.06,114.02,190,2020-01-16T13:00:00
774,1,11,51.98,106.12,181,2020-01-16T14:00:00
897,1,11,51.84,114.08,197,2020-01-16T15:00:00
782,1,11,51.43,110.53,172,2020-01-16T16:00:00
814,1,11,51.20,118.02,197,2020-01-16T17:00:00
805,1,11,49.36,120.09,195,2020-01-16T18:00:00
663,2,11,50.52,105.83,205,2020-01-16T19:00:00
637,6,11,54.89,107.41,193,2020-01-16T20:00:00
657,3,11,56.56,102.93,187,2020-01-16T21:00:00
502,2,11,57.54,90.51,190,2020-01-16T22:00:00
457,6,11,58.66,85.43,186,2020-01-16T23:00:00
373,6,11,59.25,71.85,215,2020-01-17T00:00:00
276,6,11,61.23,51.85,195,2020-01-17T01:00:00
187,6,11,64.00,43.36,192,2020-01-17T02:00:00
162,6,11,66.35,36.29,179,2020-01-17T03:00:00
226,6,11,65.42,42.13,182,2020-01-17T04:00:00
402,6,11,59.62,71.99,191,2020-01-17T05:00:00
851,6,11,56.66,138.53,191,2020-01-17T06:00:00
810,2,11,53.08,127.28,188,2020-01-17T07:00:00
661,6,11,51.17,100.93,198,2020-01-17T08:00:00
787,2,11,53.10,110.99,182,2020-01-17T09:00:00
775,1,11,52.15,105.27,180,2020-01-17T10:00:00
784,1,11,51.94,99.62,186,2020-01-17T11:00:00
1011,2,11,52.15,111.63,196,2020-01-17T12:00:00
878,1,11,53.47,105.91,192,2020-01-17T13:00:00
791,2,11,50.43,110.98,202,2020-01-17T14:00:00
753,1,11,49.32,101.02,187,2020-01-17T15:00:00
754,1,11,49.30,108.20,181,2020-01-17T16:00:00
768,3,11,49.30,122.51,187,2020-01-17T17:00:00
756,2,11,46.74,124.95,176,2020-01-17T18:00:00
791,4,11,47.88,124.76,186,2020-01-17T19:00:00
685,5,11,52.34,120.94,197,2020-01-17T20:00:00
685,4,11,54.62,108.33,185,2020-01-17T21:00:00
643,2,11,55.64,99.90,174,2020-01-17T22:00:00
511,3,11,56.73,91.65,168,2020-01-17T23:00:00
412,6,11,58.44,79.13,176,2020-01-18T00:00:00
281,6,11,60.05,57.07,191,2020-01-18T01:00:00
227,6,11,61.42,44.46,183,2020-01-18T02:00:00
156,6,11,62.34,39.61,169,2020-01-18T03:00:00
208,4,11,62.99,42.19,175,2020-01-18T04:00:00
378,6,11,58.93,63.03,209,2020-01-18T05:00:00
636,6,11,57.84,94.35,210,2020-01-18T06:00:00
837,1,11,56.33,110.09,168,2020-01-18T07:00:00
891,6,11,54.30,112.86,179,2020-01-18T08:00:00
795,1,11,53.65,104.72,199,2020-01-18T09:00:00
688,6,11,53.54,95.43,186,2020-01-18T10:00:00
765,1,11,53.30,99.38,191,2020-01-18T11:00:00
726,4,11,53.09,102.16,192,2020-01-18T12:00:00
706,1,11,51.49,102.52,199,2020-01-18T13:00:00
656,1,11,51.03,96.74,185,2020-01-18T14:00:00
634,1,11,50.41,96.33,180,2020-01-18T15:00:00
586,1,11,51.18,99.44,180,2020-01-18T16:00:00
617,2,11,52.60,101.13,206,2020-01-18T17:00:00
478,1,11,52.64,93.71,189,2020-01-18T18:00:00
569,2,11,53.16,94.58,195,2020-01-18T19:00:00
494,6,11,55.23,86.27,190,2020-01-18T20:00:00
504,6,11,56.70,79.77,213,2020-01-18T21:00:00
483,6,11,56.46,79.95,183,2020-01-18T22:00:00
452,6,11,57.09,78.99,204,2020-01-18T23:00:00
387,6,11,58.68,70.36,198,2020-01-19T00:00:00
266,6,11,60.26,50.80,217,2020-01-19T01:00:00
126,6,11,63.09,34.98,194,2020-01-19T02:00:00
113,6,11,64.93,29.96,191,2020-01-19T03:00:00
104,6,11,66.10,30.67,183,2020-01-19T04:00:00
262,6,11,60.31,48.24,176,2020-01-19T05:00:00
346,6,11,60.74,58.08,211,2020-01-19T06:00:00
383,5,11,60.43,67.95,175,2020-01-19T07:00:00
351,6,11,58.84,68.97,177,2020-01-19T08:00:00
349,6,11,58.85,64.60,211,2020-01-19T09:00:00
391,6,11,58.20,71.08,194,2020-01-19T10:00:00
396,2,11,57.72,72.17,216,2020-01-19T11:00:00
421,1,11,57.00,75.80,197,2020-01-19T12:00:00
436,2,11,54.82,79.05,183,2020-01-19T13:00:00
422,1,11,53.66,77.01,199,2020-01-19T14:00:00
550,1,11,53.99,90.54,201,2020-01-19T15:00:00
483,1,11,54.21,84.43,194,2020-01-19T16:00:00
483,1,11,55.13,86.34,205,2020-01-19T17:00:00
476,1,11,54.25,85.71,187,2020-01-19T18:00:00
337,5,11,54.32,62.32,200,2020-01-19T19:00:00
248,6,11,56.92,49.75,170,2020-01-19T20:00:00
470,4,11,55.46,82.23,176,2020-01-19T21:00:00
459,4,11,55.05,82.70,177,2020-01-19T22:00:00
439,5,11,57.25,78.73,212,2020-01-19T23:00:00
308,6,11,58.52,60.18,172,2020-01-20T00:00:00
224,6,11,60.63,48.78,181,2020-01-20T01:00:00
174,6,11,63.19,40.32,188,2020-01-20T02:00:00
131,6,11,65.21,34.02,181,2020-01-20T03:00:00
175,6,11,64.67,39.10,170,2020-01-20T04:00:00
419,6,11,59.10,69.31,177,2020-01-20T05:00:00
942,3,11,55.87,142.55,185,2020-01-20T06:00:00
878,4,11,51.17,133.80,167,2020-01-20T07:00:00
708,6,11,50.47,107.79,172,2020-01-20T08:00:00
779,6,11,52.11,107.42,178,2020-01-20T09:00:00
878,4,11,52.71,108.10,173,2020-01-20T10:00:00
934,1,11,52.19,109.62,189,2020-01-20T11:00:00
872,1,11,51.93,104.47,183,2020-01-20T12:00:00
792,1,11,51.70,104.61,184,2020-01-20T13:00:00
808,1,11,51.46,100.14,187,2020-01-20T14:00:00
801,1,11,50.81,97.55,186,2020-01-20T15:00:00
917,1,11,51.33,121.33,182,2020-01-20T16:00:00
718,2,11,50.23,110.52,177,2020-01-20T17:00:00
773,1,11,48.65,132.88,194,2020-01-20T18:00:00
844,5,11,50.22,130.54,209,2020-01-20T19:00:00
746,6,11,53.24,121.28,189,2020-01-20T20:00:00
654,6,11,55.64,103.50,189,2020-01-20T21:00:00
529,5,11,56.92,87.61,205,2020-01-20T22:00:00
