max_number_of_vehicles,minimum_speed,min_number_of_vehicles,average_speed,avg_number_of_vehicles,maximum_speed,date,average_felt_temperature,average_road_temperature,minimum_felt_temperature,minimum_precipitation,maximum_humidity,maximum_felt_temperature,maximum_precipitation,maximum_temperature,average_humidity,average_wind,average_directionofwind,minimum_temperature,average_temperature,maximum_road_temperature,minimum_humidity,minimum_directionofwind,minimum_wind,maximum_directionofwind,minimum_road_temperature,maximum_wind,average_precipitation
298,6,11,56.59,58.72,193,2020-01-01 00:00:00,4.0,3.79,-4.22,0.0,100.0,8.76,60.0,8.4,87.58,1.48,229.33,-0.55,4.4,8.0,59.52,0.0,0.0,355.0,-13.2,6.41,1.18
272,6,11,57.41,53.68,188,2020-01-01 01:00:00,3.95,3.34,-3.75,0.0,100.0,9.13,60.0,8.15,84.65,1.51,240.89,-0.41,4.36,7.4,57.21,1.0,0.0,354.0,-37.1,6.0,0.23
223,3,11,59.7,44.72,197,2020-01-01 02:00:00,4.11,4.08,-1.24,0.0,100.0,8.87,60.0,7.69,79.1,1.37,237.46,1.15,4.38,7.2,52.1,0.0,0.0,355.0,1.8,5.39,0.93
166,6,11,61.05,37.51,191,2020-01-01 03:00:00,4.26,4.23,0.39,0.0,100.0,8.95,60.0,7.08,77.53,1.18,223.58,2.12,4.36,6.6,54.88,0.0,0.0,355.0,2.7,5.01,0.62
113,6,11,62.44,32.87,207,2020-01-01 04:00:00,4.92,4.56,0.58,0.0,100.0,9.31,0.52,6.93,80.8,0.88,207.85,2.34,4.65,6.7,56.46,0.0,0.0,355.0,2.9,3.97,0.02
192,6,11,59.21,42.12,214,2020-01-01 05:00:00,4.86,4.56,0.85,0.0,100.0,9.82,60.0,7.29,86.97,1.02,192.0,2.3,4.73,6.9,64.67,0.0,0.0,359.0,3.0,5.55,0.58
294,6,11,61.25,46.4,180,2020-01-01 06:00:00,4.87,4.69,1.46,0.0,100.0,8.91,60.0,7.44,92.78,1.11,160.82,2.71,4.8,7.0,71.85,0.0,0.0,356.0,3.1,8.47,1.2
358,6,11,60.97,55.97,177,2020-01-01 07:00:00,5.24,5.12,1.85,0.0,100.0,9.21,60.0,7.43,93.5,1.36,172.31,3.21,5.25,7.0,68.54,0.0,0.0,355.0,3.6,9.65,0.5
269,6,11,59.02,53.59,190,2020-01-01 08:00:00,5.66,5.79,1.83,0.0,100.0,9.31,0.71,8.34,90.9,1.84,174.95,3.86,5.92,7.6,65.51,0.0,0.0,358.0,4.4,9.52,0.08
281,6,11,58.86,52.47,189,2020-01-01 09:00:00,5.96,6.6,2.67,0.0,100.0,9.55,60.0,8.95,85.94,2.46,170.87,4.5,6.62,10.4,62.83,1.0,0.0,359.0,4.9,9.56,1.19
288,3,11,58.94,54.37,192,2020-01-01 10:00:00,6.36,8.84,2.22,0.0,100.0,10.73,60.0,10.13,76.74,3.8,160.47,4.98,7.74,13.0,61.1,0.0,0.0,357.0,5.5,12.75,1.1
329,6,11,58.27,60.57,182,2020-01-01 11:00:00,6.19,9.67,2.33,0.0,100.0,12.57,60.0,11.51,72.48,4.38,166.82,5.9,7.95,13.2,55.42,0.0,0.0,359.0,6.6,11.61,1.82
425,5,11,58.49,69.43,204,2020-01-01 12:00:00,6.18,9.54,1.54,0.0,100.0,12.17,60.0,10.88,69.54,4.09,165.52,5.31,7.8,13.9,56.96,0.0,0.0,359.0,6.5,10.45,1.82
510,1,11,57.32,80.0,192,2020-01-01 13:00:00,5.65,8.4,1.1,0.0,100.0,11.23,60.0,9.33,70.61,3.8,166.18,4.4,7.23,11.8,58.04,0.0,0.0,358.0,5.6,11.3,1.93
520,1,11,56.76,83.31,209,2020-01-01 14:00:00,4.96,6.81,1.28,0.0,100.0,10.3,60.0,8.76,71.9,3.75,167.42,4.56,6.69,9.7,56.15,0.0,0.0,359.0,3.9,11.89,1.81
539,2,11,56.25,89.31,188,2020-01-01 15:00:00,4.83,5.81,-1.24,0.0,100.0,9.92,60.0,8.13,72.52,3.33,170.27,2.17,6.26,8.0,58.28,0.0,0.0,358.0,2.9,12.27,2.88
521,1,11,56.09,87.95,197,2020-01-01 16:00:00,4.64,5.63,-0.19,0.0,100.0,9.77,60.0,7.87,70.67,3.59,169.16,3.39,6.29,8.3,56.32,0.0,0.0,359.0,2.7,12.63,3.16
524,3,11,56.94,86.7,219,2020-01-01 17:00:00,4.31,5.39,-0.24,0.0,100.0,9.85,60.0,7.87,70.64,3.74,167.77,3.76,6.12,8.4,55.42,0.0,0.0,358.0,0.6,13.01,2.8
467,3,11,55.95,85.31,190,2020-01-01 18:00:00,3.35,4.66,-2.29,0.0,100.0,8.39,60.0,7.67,73.36,4.31,164.98,2.14,5.48,7.7,52.44,0.0,0.0,359.0,-0.5,14.18,2.61
452,6,11,56.58,80.4,218,2020-01-01 19:00:00,3.27,4.32,-1.63,0.0,100.0,8.16,60.0,7.26,71.81,4.15,175.31,2.87,5.33,7.4,55.4,0.0,0.0,359.0,-0.5,13.42,2.37
387,6,11,57.41,76.37,190,2020-01-01 20:00:00,3.26,3.87,-3.46,0.0,100.0,8.41,60.0,6.99,68.94,3.9,166.55,2.57,5.31,6.6,51.65,0.0,0.0,359.0,1.0,13.61,3.61
458,2,11,56.71,75.53,169,2020-01-01 21:00:00,3.42,3.34,-1.99,0.0,100.0,8.8,60.0,6.92,69.33,3.41,170.35,3.25,5.2,5.9,51.39,0.0,0.0,360.0,0.7,13.97,2.18
406,6,11,57.88,70.82,180,2020-01-01 22:00:00,3.01,3.42,-2.26,0.0,100.0,8.3,60.0,6.64,78.17,3.55,168.18,2.83,4.83,6.0,59.82,0.0,0.0,359.0,-0.4,14.19,1.11
371,6,11,58.74,66.04,176,2020-01-01 23:00:00,2.61,3.4,-2.24,0.0,100.0,7.68,60.0,6.58,85.01,3.34,175.65,2.37,4.37,5.4,69.4,0.0,0.0,359.0,0.6,11.26,0.94
274,6,11,59.74,55.3,186,2020-01-02 00:00:00,2.68,3.2,-2.44,0.0,100.0,8.24,60.0,6.37,88.0,2.91,162.9,1.4,4.16,5.3,71.05,0.0,0.0,359.0,0.8,11.99,0.57
187,6,11,61.41,41.5,174,2020-01-02 01:00:00,2.58,3.13,-2.03,0.0,100.0,7.89,1.23,5.97,89.84,2.97,154.1,1.95,4.12,5.0,74.83,0.0,0.0,358.0,0.6,11.99,0.09
129,6,11,65.67,34.83,183,2020-01-02 02:00:00,2.48,3.3,-1.42,0.0,100.0,7.64,1.03,6.62,90.57,3.13,132.28,1.92,4.07,5.0,73.56,0.0,0.0,359.0,0.8,18.51,0.11
108,6,11,66.51,30.74,163,2020-01-02 03:00:00,2.72,3.39,-1.59,0.0,100.0,6.89,5.0,6.77,89.02,3.13,134.88,2.26,4.29,4.8,67.76,0.0,0.0,359.0,0.5,13.75,0.15
143,6,11,66.64,34.44,176,2020-01-02 04:00:00,3.13,3.68,-1.32,0.0,100.0,7.65,1.55,6.86,85.3,3.36,129.43,1.24,4.77,5.0,67.06,0.0,0.0,359.0,1.9,13.51,0.1
325,6,11,58.55,63.7,169,2020-01-02 05:00:00,3.03,3.77,-2.54,0.0,100.0,7.94,60.0,6.84,84.12,3.7,124.37,1.03,4.92,5.5,67.1,0.0,0.0,359.0,1.6,13.4,0.36
996,3,11,55.68,151.1,175,2020-01-02 06:00:00,3.17,4.22,-2.04,0.0,100.0,8.11,60.0,6.58,85.93,3.49,134.31,1.38,4.89,6.1,65.33,0.0,0.0,359.0,1.7,11.44,1.1
948,6,11,52.31,158.7,186,2020-01-02 07:00:00,3.21,5.1,-1.5,0.0,100.0,8.0,60.0,7.24,89.09,3.39,145.48,1.83,4.81,7.9,62.7,1.0,0.0,359.0,2.2,16.89,0.75
861,6,11,50.86,135.07,180,2020-01-02 08:00:00,3.53,6.16,-0.3,0.0,100.0,9.37,60.0,7.6,91.21,3.29,112.85,2.17,5.1,9.6,64.6,1.0,0.0,355.0,3.5,14.76,0.92
1017,6,11,53.19,141.73,214,2020-01-02 09:00:00,4.01,6.98,-0.02,0.0,100.0,9.43,60.0,7.65,91.81,3.22,118.09,3.75,5.44,10.5,70.66,0.0,0.0,358.0,4.4,15.6,2.03
1046,1,11,53.71,130.9,188,2020-01-02 10:00:00,4.37,7.86,0.41,0.0,100.0,10.42,60.0,9.17,90.79,3.38,103.84,3.82,5.87,13.5,67.65,0.0,0.0,359.0,4.8,16.67,1.05
1089,1,11,53.24,129.96,185,2020-01-02 11:00:00,4.6,7.88,-0.48,0.0,100.0,10.51,60.0,9.63,89.64,3.38,105.94,3.22,6.1,12.6,67.84,0.0,0.0,359.0,4.1,15.25,2.02
1134,2,11,52.57,127.38,207,2020-01-02 12:00:00,4.24,7.45,0.05,0.0,100.0,11.34,60.0,9.78,90.1,3.45,106.3,3.78,5.82,11.4,68.19,0.0,0.0,359.0,4.5,13.49,1.99
974,1,11,51.87,119.45,217,2020-01-02 13:00:00,3.94,6.69,0.16,0.0,100.0,9.73,60.0,8.05,91.26,3.49,107.75,3.54,5.53,8.9,69.65,0.0,0.0,359.0,4.7,14.01,2.14
960,2,11,51.77,121.46,173,2020-01-02 14:00:00,3.89,5.92,0.03,0.0,100.0,10.02,60.0,8.32,91.47,3.35,110.28,3.59,5.49,7.7,74.75,0.0,0.0,359.0,4.1,15.47,1.89
1018,2,11,51.25,125.21,201,2020-01-02 15:00:00,3.85,5.44,-0.05,0.0,100.0,8.61,60.0,6.66,91.36,3.26,109.82,3.53,5.33,7.3,71.91,0.0,0.0,359.0,4.1,14.21,3.24
711,2,11,49.96,105.67,184,2020-01-02 16:00:00,3.79,5.29,-0.62,0.0,100.0,8.73,60.0,6.86,91.32,3.22,110.97,3.48,5.26,7.1,72.5,0.0,0.0,359.0,3.5,16.02,2.8
688,6,11,49.06,98.77,186,2020-01-02 17:00:00,3.97,5.05,0.01,0.0,100.0,8.3,60.0,7.01,91.46,2.9,103.38,3.55,5.2,6.6,73.8,0.0,0.0,359.0,3.1,14.45,3.25
815,6,11,47.83,127.67,190,2020-01-02 18:00:00,4.11,4.83,0.02,0.0,100.0,8.62,60.0,7.36,90.73,2.67,103.66,3.2,5.22,6.3,73.32,0.0,0.0,359.0,2.5,13.6,2.14
881,3,11,49.48,133.92,175,2020-01-02 19:00:00,4.12,4.64,0.44,0.0,100.0,8.59,133.3,7.66,90.17,2.61,115.78,3.01,5.18,6.4,71.77,0.0,0.0,359.0,2.8,12.08,2.68
697,5,11,53.62,117.85,185,2020-01-02 20:00:00,4.29,4.42,0.42,0.0,100.0,8.59,60.0,8.01,90.04,2.38,94.84,2.81,5.16,6.4,64.09,0.0,0.0,359.0,2.4,12.1,3.17
659,5,11,55.02,99.93,174,2020-01-02 21:00:00,4.2,4.17,0.26,0.0,100.0,8.35,60.0,8.02,89.92,2.32,106.43,3.01,5.06,6.0,62.12,0.0,0.0,360.0,2.0,11.55,2.06
451,4,11,56.33,82.35,196,2020-01-02 22:00:00,4.11,3.93,0.0,0.0,100.0,8.52,60.0,7.15,90.04,2.17,108.03,3.01,4.95,6.0,72.42,0.0,0.0,359.0,1.7,9.63,1.22
414,6,11,57.83,76.28,180,2020-01-02 23:00:00,3.93,3.84,-0.7,0.0,100.0,8.63,60.0,7.62,89.72,2.43,110.47,2.33,4.89,5.7,64.62,0.0,0.0,358.0,1.6,11.15,1.34
329,6,11,59.36,65.55,185,2020-01-03 00:00:00,3.99,3.75,-1.05,0.0,100.0,8.46,60.0,7.52,88.81,2.36,117.12,2.12,4.9,5.7,65.55,0.0,0.0,358.0,1.4,10.15,1.34
240,6,11,60.57,48.94,173,2020-01-03 01:00:00,4.19,3.65,-0.59,0.0,100.0,10.3,60.0,7.4,88.06,2.0,124.75,2.19,4.86,5.4,66.69,0.0,0.0,359.0,1.0,8.66,1.17
175,6,11,63.82,40.34,193,2020-01-03 02:00:00,4.31,3.61,-0.27,0.0,100.0,10.52,0.52,7.34,87.98,1.72,130.71,2.58,4.76,5.4,69.06,0.0,0.0,359.0,0.8,8.18,0.06
159,6,11,64.13,36.35,178,2020-01-03 03:00:00,4.28,3.72,0.1,0.0,100.0,8.59,0.52,7.14,88.15,1.67,121.05,1.85,4.69,5.4,64.86,0.0,0.0,358.0,0.8,7.45,0.06
185,6,11,64.19,39.48,199,2020-01-03 04:00:00,4.19,3.81,0.91,0.0,100.0,8.14,3.15,7.13,87.32,1.58,130.56,1.38,4.62,5.5,64.77,0.0,0.0,359.0,0.7,6.72,0.08
357,6,11,58.46,64.5,191,2020-01-03 05:00:00,4.16,3.75,0.38,0.0,100.0,8.67,60.0,7.09,87.11,1.48,133.17,1.11,4.5,6.4,64.9,0.0,0.0,359.0,1.0,6.85,0.68
918,6,11,56.27,147.86,218,2020-01-03 06:00:00,4.75,4.54,1.01,0.0,100.0,8.99,60.0,7.58,85.81,1.59,129.23,2.03,5.05,7.0,63.22,0.0,0.0,359.0,1.5,7.69,0.96
842,5,11,52.94,141.57,181,2020-01-03 07:00:00,5.7,6.17,1.96,0.0,100.0,11.16,60.0,9.06,82.74,1.71,118.21,3.25,6.05,9.7,58.59,0.0,0.0,357.0,3.1,6.44,1.92
733,4,11,50.89,111.17,191,2020-01-03 08:00:00,6.09,8.03,2.16,0.0,100.0,11.18,60.0,9.38,80.28,1.97,124.05,4.35,6.63,12.3,56.1,0.0,0.0,357.0,5.1,6.76,0.76
969,3,11,53.53,125.94,187,2020-01-03 09:00:00,6.15,9.1,2.88,0.0,100.0,12.79,60.0,10.44,79.19,2.05,122.15,4.84,6.78,13.7,59.06,1.0,0.0,359.0,5.6,5.9,1.25
1003,2,11,53.6,120.84,195,2020-01-03 10:00:00,6.22,9.98,2.51,0.0,100.0,11.98,60.0,10.23,77.27,2.34,142.92,5.04,7.0,16.4,57.97,0.0,0.0,355.0,5.5,6.19,0.39
1009,2,11,53.14,121.42,222,2020-01-03 11:00:00,6.19,10.0,2.41,0.0,100.0,12.43,60.0,10.73,75.86,2.33,160.37,5.17,7.0,15.1,57.05,0.0,0.0,360.0,6.8,6.81,0.93
888,3,11,53.72,116.58,188,2020-01-03 12:00:00,6.35,10.12,3.09,0.0,100.0,11.28,60.0,9.92,75.0,2.19,155.46,5.24,7.05,14.1,59.32,0.0,0.0,358.0,7.7,5.65,1.07
844,4,11,55.11,111.59,198,2020-01-03 13:00:00,6.49,9.28,3.33,0.0,100.0,12.83,60.0,11.05,75.89,1.94,155.2,4.88,6.92,12.6,51.61,0.0,0.0,359.0,5.1,4.77,1.7
820,2,11,52.98,106.44,184,2020-01-03 14:00:00,6.12,7.77,2.73,0.0,100.0,12.45,60.0,10.81,77.47,1.49,154.36,3.94,6.25,11.0,60.75,0.0,0.0,359.0,5.3,4.45,2.3
796,1,11,51.84,106.84,182,2020-01-03 15:00:00,5.58,6.63,2.84,0.0,100.0,9.92,60.0,7.83,81.03,1.17,161.45,3.46,5.53,9.5,64.29,0.0,0.0,359.0,4.7,3.86,2.23
745,3,11,51.77,102.38,213,2020-01-03 16:00:00,5.47,6.24,2.7,0.0,100.0,9.33,133.3,7.53,83.19,0.93,163.07,3.42,5.22,8.7,65.93,0.0,0.0,359.0,4.4,3.41,3.47
837,1,11,51.51,126.7,191,2020-01-03 17:00:00,5.37,5.88,2.44,0.0,100.0,11.54,60.0,7.53,84.6,0.86,174.95,3.07,5.0,8.5,66.61,0.0,0.0,357.0,4.1,3.0,3.57
842,6,11,50.4,127.43,186,2020-01-03 18:00:00,5.08,5.58,2.26,0.0,100.0,9.71,60.0,7.47,85.95,0.94,164.56,2.87,4.81,7.9,68.82,0.0,0.0,359.0,3.9,3.62,2.31
814,3,11,51.36,126.99,201,2020-01-03 19:00:00,4.96,5.33,1.4,0.0,100.0,10.24,60.0,7.43,86.55,0.95,175.83,2.67,4.73,7.7,69.3,0.0,0.0,359.0,3.6,3.81,2.3
705,1,11,55.29,113.29,200,2020-01-03 20:00:00,4.97,5.16,1.59,0.0,100.0,10.79,60.0,7.28,87.32,0.88,167.5,2.74,4.64,7.7,70.33,0.0,0.0,356.0,3.3,3.41,3.36
636,4,11,57.39,103.55,210,2020-01-03 21:00:00,5.03,5.14,0.86,0.0,100.0,9.84,60.0,7.2,88.06,0.76,189.71,2.81,4.58,8.0,70.59,0.0,0.0,353.0,3.5,3.57,1.87
479,6,11,57.53,86.31,204,2020-01-03 22:00:00,4.78,5.02,0.32,0.0,100.0,10.62,60.0,7.21,88.61,0.89,190.08,2.74,4.48,7.2,60.04,0.0,0.0,355.0,3.5,4.26,1.08
486,6,11,58.1,83.39,197,2020-01-03 23:00:00,4.64,4.98,0.54,0.0,100.0,10.02,60.0,7.53,87.07,1.09,186.88,2.7,4.61,7.0,55.08,0.0,0.0,354.0,3.6,4.47,1.3
387,6,11,59.63,74.58,199,2020-01-04 00:00:00,4.87,4.95,0.46,0.0,100.0,9.27,60.0,8.08,83.85,1.28,205.07,2.58,4.94,7.1,55.29,1.0,0.0,355.0,3.8,6.99,0.86
243,6,11,61.27,50.7,183,2020-01-04 01:00:00,4.8,4.91,0.26,0.0,100.0,11.37,60.0,8.37,79.83,1.46,205.85,2.77,5.09,7.1,52.78,0.0,0.0,354.0,3.7,6.21,1.0
194,6,11,63.21,41.88,191,2020-01-04 02:00:00,5.12,4.96,0.62,0.0,100.0,9.39,60.0,8.57,74.97,1.36,208.79,3.08,5.28,7.1,54.41,1.0,0.0,353.0,3.8,5.31,1.09
136,6,11,65.58,35.85,185,2020-01-04 03:00:00,5.37,5.07,0.74,0.0,100.0,9.57,60.0,8.86,72.88,1.42,215.03,3.17,5.51,7.2,47.01,1.0,0.0,355.0,4.0,5.64,0.86
211,6,11,65.16,40.49,188,2020-01-04 04:00:00,5.47,5.25,0.01,0.0,100.0,9.7,60.0,8.94,72.03,1.57,218.78,3.11,5.77,7.6,47.35,0.0,0.0,355.0,3.9,5.29,1.23
353,6,11,60.5,57.16,183,2020-01-04 05:00:00,5.5,5.52,0.32,0.0,100.0,9.91,60.0,8.93,68.39,1.73,223.1,3.04,5.94,7.8,41.04,1.0,0.0,355.0,3.7,5.17,0.09
586,6,11,59.13,87.49,177,2020-01-04 06:00:00,5.7,6.02,0.79,0.0,100.0,9.18,60.0,9.05,65.93,1.73,230.94,3.17,6.1,8.7,41.24,3.0,0.0,355.0,4.0,4.84,1.19
1018,6,11,57.8,120.61,178,2020-01-04 07:00:00,6.14,7.19,1.18,0.0,100.0,10.1,60.0,9.08,63.34,1.93,227.91,3.59,6.63,9.8,42.93,0.0,0.0,354.0,4.8,5.09,0.94
1051,6,11,56.83,129.89,188,2020-01-04 08:00:00,7.05,8.98,2.06,0.0,100.0,10.74,60.0,9.76,60.71,2.01,227.7,4.19,7.49,12.4,37.95,0.0,0.0,352.0,6.2,5.33,1.43
1009,2,11,56.38,124.31,184,2020-01-04 09:00:00,8.01,10.85,4.11,0.0,100.0,11.77,60.0,10.85,56.61,2.14,235.73,6.09,8.38,14.2,37.33,3.0,0.0,355.0,7.3,6.0,2.24
972,4,11,55.68,121.31,212,2020-01-04 10:00:00,9.28,13.35,4.55,0.0,100.0,13.99,60.0,12.04,52.56,2.2,245.2,7.28,9.57,18.5,31.7,0.0,0.0,352.0,7.1,7.33,1.53
993,3,11,54.95,114.9,187,2020-01-04 11:00:00,10.0,14.3,4.99,0.0,99.9,15.32,60.0,13.37,49.12,2.1,236.45,7.32,10.16,19.5,28.4,1.0,0.0,354.0,7.4,7.49,1.0
932,6,11,54.45,116.32,202,2020-01-04 12:00:00,9.82,13.21,4.4,0.0,99.9,15.13,60.0,13.77,50.9,2.16,229.45,6.93,10.01,19.2,25.07,2.0,0.0,355.0,7.6,5.6,0.63
936,1,11,53.35,115.39,207,2020-01-04 13:00:00,8.96,11.12,4.88,0.0,100.0,15.09,133.3,12.78,59.09,2.2,235.29,6.33,9.29,17.2,26.27,0.0,0.0,355.0,6.2,5.73,1.83
901,3,11,52.94,113.26,214,2020-01-04 14:00:00,8.03,9.01,3.83,0.0,100.0,13.86,60.0,12.33,65.59,1.93,234.48,4.97,8.26,12.5,29.53,0.0,0.0,355.0,4.9,5.73,2.32
898,6,11,54.11,112.39,206,2020-01-04 15:00:00,7.21,7.5,3.32,0.0,100.0,10.99,60.0,9.54,71.66,1.46,225.38,4.22,7.21,10.5,37.24,0.0,0.0,354.0,3.9,4.75,3.68
743,1,11,53.96,109.65,215,2020-01-04 16:00:00,6.51,6.7,1.56,0.0,100.0,10.87,60.0,9.63,75.82,1.18,212.24,3.51,6.48,10.0,50.52,1.0,0.0,355.0,3.4,3.88,2.45
626,3,11,53.81,108.31,186,2020-01-04 17:00:00,5.89,5.99,1.05,0.0,100.0,10.77,60.0,9.61,79.82,1.24,203.53,2.18,5.9,10.0,62.17,1.0,0.0,354.0,2.9,4.29,3.21
602,4,11,53.88,100.87,200,2020-01-04 18:00:00,5.6,5.44,-0.57,0.0,100.0,12.37,60.0,9.63,82.58,1.12,195.12,0.99,5.48,10.0,60.54,0.0,0.0,355.0,2.7,3.96,2.22
561,2,11,53.84,96.19,197,2020-01-04 19:00:00,5.18,5.05,-0.27,0.0,100.0,11.15,60.0,9.58,85.04,0.94,183.05,0.39,5.06,10.0,61.34,0.0,0.0,354.0,2.2,3.98,2.63
467,2,11,55.78,85.61,223,2020-01-04 20:00:00,4.78,4.65,-0.96,0.0,100.0,11.4,60.0,9.2,87.35,0.92,170.32,-0.29,4.59,10.0,64.25,0.0,0.0,355.0,1.7,4.01,2.68
480,6,11,57.12,79.73,215,2020-01-04 21:00:00,4.35,4.29,-1.28,0.0,100.0,8.98,60.0,7.63,88.91,0.99,165.25,-0.67,4.25,10.0,71.45,0.0,0.0,355.0,1.3,4.24,3.45
437,6,11,57.14,77.63,181,2020-01-04 22:00:00,4.02,3.93,-1.54,0.0,100.0,9.62,60.0,7.42,89.85,1.01,168.08,-0.83,3.96,10.0,68.13,0.0,0.0,354.0,0.7,4.4,0.96
443,6,11,57.98,79.12,208,2020-01-04 23:00:00,3.8,3.67,-0.82,0.0,100.0,9.4,60.0,7.1,90.23,0.94,171.41,-0.9,3.68,10.1,64.21,0.0,0.0,355.0,0.6,4.19,1.23
361,4,11,58.66,69.82,207,2020-01-05 00:00:00,3.92,3.83,-1.48,0.0,100.0,9.31,60.0,7.26,90.19,0.95,160.23,-0.91,3.9,10.0,65.08,0.0,0.0,355.0,0.7,4.57,1.69
228,6,11,60.42,45.75,189,2020-01-05 01:00:00,4.22,4.02,-1.9,0.0,100.0,9.6,60.0,7.54,89.56,1.02,171.77,-0.94,4.18,10.0,61.9,0.0,0.0,355.0,0.7,4.92,1.49
120,6,11,62.06,34.78,195,2020-01-05 02:00:00,4.56,4.26,-1.09,0.0,100.0,9.92,60.0,7.45,87.61,0.94,176.69,-0.89,4.49,10.0,60.13,0.0,0.0,351.0,0.8,4.53,0.85
96,6,11,63.44,30.97,196,2020-01-05 03:00:00,4.88,4.44,-0.69,0.0,100.0,9.76,3.55,7.67,87.16,0.84,169.37,-0.69,4.69,10.0,53.28,0.0,0.0,355.0,1.0,3.91,0.11
100,6,11,66.28,31.64,198,2020-01-05 04:00:00,5.2,4.65,-0.36,0.0,100.0,11.2,1.82,8.35,86.27,0.83,159.76,-0.37,4.93,10.0,52.4,0.0,0.0,355.0,1.3,4.03,0.06
236,6,11,61.32,44.04,198,2020-01-05 05:00:00,5.41,4.86,-0.11,0.0,100.0,11.13,60.0,8.28,86.03,0.8,147.33,-0.11,5.08,10.0,54.84,0.0,0.0,355.0,1.7,3.56,0.54
316,6,11,61.63,53.99,181,2020-01-05 06:00:00,5.73,5.39,0.03,0.0,100.0,10.3,60.0,8.75,85.98,0.82,163.15,0.14,5.39,10.0,57.17,0.0,0.0,355.0,2.1,3.43,1.11
367,6,11,60.54,61.76,189,2020-01-05 07:00:00,6.74,6.52,0.5,0.0,100.0,11.7,60.0,9.37,83.68,0.9,164.95,0.99,6.22,10.0,57.1,0.0,0.0,354.0,3.2,3.56,0.26
304,6,11,60.07,61.38,197,2020-01-05 08:00:00,8.01,7.76,2.22,0.0,100.0,13.99,60.0,9.85,80.81,0.75,164.91,2.09,7.28,10.2,56.17,0.0,0.0,354.0,4.3,3.65,0.83
346,6,11,59.85,60.21,190,2020-01-05 09:00:00,8.48,8.74,3.08,0.0,100.0,12.26,60.0,10.33,78.4,1.07,166.34,3.65,7.98,10.9,54.67,0.0,0.0,359.0,6.0,4.21,0.96
353,6,11,59.2,65.04,188,2020-01-05 10:00:00,8.32,9.64,3.83,0.0,100.0,12.31,60.0,10.53,78.64,1.87,169.54,5.26,8.45,12.3,55.21,0.0,0.0,359.0,7.6,8.3,1.14
374,6,11,58.61,67.49,191,2020-01-05 11:00:00,7.27,9.51,2.51,0.0,100.0,12.8,60.0,10.79,80.66,2.8,169.15,5.28,8.08,12.4,58.62,0.0,0.0,359.0,6.7,11.17,0.94
427,6,11,57.87,75.56,202,2020-01-05 12:00:00,5.86,8.64,1.85,0.0,100.0,12.43,60.0,10.75,84.23,3.17,178.99,4.63,7.14,11.4,59.43,0.0,0.0,359.0,6.3,9.92,0.87
477,6,11,56.89,81.22,210,2020-01-05 13:00:00,4.88,7.7,1.21,0.0,100.0,10.32,60.0,9.35,87.16,3.16,165.56,4.13,6.24,10.9,68.43,0.0,0.0,359.0,5.5,10.03,2.24
461,1,11,55.42,83.54,203,2020-01-05 14:00:00,4.4,6.87,0.53,0.0,100.0,8.79,60.0,8.01,89.23,2.8,153.96,3.59,5.64,10.1,68.74,0.0,0.0,359.0,5.1,8.3,2.11
540,6,11,55.17,90.23,202,2020-01-05 15:00:00,4.42,6.37,0.67,0.0,100.0,8.66,60.0,7.33,90.42,2.54,130.63,3.46,5.47,10.0,72.1,0.0,0.0,360.0,4.8,9.37,3.06
480,5,11,53.99,87.27,182,2020-01-05 16:00:00,4.22,6.16,0.58,0.0,100.0,8.36,60.0,7.0,92.04,2.53,96.59,3.46,5.28,10.0,73.77,0.0,0.0,360.0,4.5,9.07,3.28
483,6,11,54.22,86.59,186,2020-01-05 17:00:00,4.1,6.02,0.22,0.0,100.0,8.82,60.0,6.99,94.02,2.63,95.71,3.53,5.25,10.0,78.99,0.0,0.0,360.0,4.2,11.14,3.21
468,3,11,52.75,85.15,195,2020-01-05 18:00:00,4.12,6.06,-2.87,0.0,100.0,9.15,60.0,6.98,95.02,2.72,98.16,3.82,5.39,10.8,80.6,0.0,0.0,359.0,3.6,10.85,2.22
407,4,11,53.52,79.79,197,2020-01-05 19:00:00,4.52,6.1,-0.05,0.0,100.0,9.51,60.0,7.35,95.48,2.67,113.55,3.96,5.57,10.0,84.4,0.0,0.0,359.0,4.5,12.52,2.32
439,6,11,54.73,77.65,179,2020-01-05 20:00:00,4.48,6.12,0.06,0.0,100.0,9.56,60.0,7.44,95.82,3.12,121.22,3.59,5.71,10.0,85.9,0.0,0.0,360.0,4.5,15.16,3.53
436,3,11,55.41,77.15,173,2020-01-05 21:00:00,4.24,6.05,-0.89,0.0,100.0,9.68,61.0,7.47,95.48,3.6,129.59,3.39,5.65,10.0,84.7,0.0,0.0,359.0,4.5,14.51,1.29
390,3,11,55.75,68.97,173,2020-01-05 22:00:00,4.02,5.95,-1.0,0.0,100.0,9.48,60.0,7.35,95.09,3.82,139.17,3.27,5.56,10.0,85.9,0.0,0.0,358.0,2.7,15.4,1.33
386,6,11,56.86,69.14,173,2020-01-05 23:00:00,3.66,5.87,-1.0,0.0,100.0,8.96,2.05,7.21,95.17,4.23,133.94,3.39,5.48,10.0,85.1,0.0,0.0,359.0,4.3,16.85,0.22
266,6,11,56.77,55.81,172,2020-01-06 00:00:00,3.83,5.87,-1.23,0.0,100.0,8.92,133.3,7.4,95.36,4.16,129.0,3.05,5.57,10.0,83.9,0.0,0.0,359.0,4.3,18.03,0.36
